x,y
43,33
42,34
40,34
39,35
38,35
37,36
36,36
30,42
30,43
29,44
29,45
28,46
28,47
27,48
27,50
26,51
26,56
25,57
25,62
26,63
26,68
27,69
27,71
31,75
39,75
41,73
42,73
43,72
44,72
46,70
48,70
50,68
53,68
54,67
63,67
65,69
67,69
68,70
69,70
70,71
72,71
73,72
75,72
76,73
79,73
80,74
91,74
92,73
96,73
97,72
99,72
100,71
101,71
102,70
103,70
105,68
106,68
110,64
110,63
112,61
112,60
114,58
114,56
115,55
115,53
116,52
116,41
115,40
115,38
114,37
114,36
111,33
105,33
103,35
102,35
100,37
99,37
97,39
96,39
95,40
93,40
92,41
90,41
89,42
79,42
78,41
75,41
74,40
72,40
71,39
70,39
69,38
68,38
67,37
66,37
65,36
63,36
62,35
61,35
60,34
57,34
56,33
