x,y
109,87
108,88
107,88
105,90
104,90
103,91
102,91
100,93
99,93
98,94
96,94
95,95
92,95
91,96
85,96
84,95
82,95
81,94
80,94
79,93
77,93
76,92
74,92
73,91
70,91
69,90
55,90
54,91
51,91
50,92
48,92
47,93
46,93
45,94
44,94
43,95
42,95
35,102
35,103
33,105
33,106
32,107
32,108
31,109
31,111
30,112
30,115
29,116
29,122
30,123
30,126
31,127
31,129
33,131
33,132
34,133
36,133
37,134
39,134
40,133
42,133
44,131
45,131
48,128
49,128
50,127
51,127
52,126
53,126
54,125
56,125
57,124
61,124
62,123
66,123
67,124
72,124
73,125
75,125
76,126
77,126
78,127
79,127
80,128
82,128
83,129
85,129
86,130
88,130
89,131
104,131
105,130
107,130
108,129
110,129
112,127
113,127
117,123
117,122
119,120
119,119
120,118
120,117
121,116
121,113
122,112
122,110
123,109
123,98
122,97
122,94
121,93
121,91
117,87
