x,y
71,85
70,86
69,86
68,87
67,87
66,88
65,88
64,89
63,89
62,90
61,90
60,91
59,91
58,92
57,92
56,93
55,93
53,95
51,95
50,96
49,96
48,97
47,97
46,98
45,98
44,99
43,99
42,100
41,100
40,101
39,101
38,102
37,102
36,103
35,103
34,104
33,104
32,105
31,105
30,106
29,106
28,107
27,107
26,108
25,108
24,109
23,109
22,110
22,112
24,112
26,114
28,114
29,115
30,115
31,116
32,116
33,117
34,117
35,118
36,118
37,119
38,119
39,120
40,120
41,121
43,121
44,122
45,122
46,123
47,123
48,124
49,124
50,125
51,125
52,126
53,126
54,127
55,127
56,128
57,128
58,129
59,129
60,130
61,130
62,131
63,131
64,132
66,132
67,133
68,133
69,134
70,134
71,135
75,135
76,134
77,134
78,133
79,133
80,132
81,132
82,131
83,131
84,130
85,130
86,129
87,129
88,128
89,128
90,127
91,127
92,126
93,126
94,125
95,125
96,124
97,124
98,123
99,123
100,122
101,122
102,121
103,121
104,120
105,120
106,119
108,119
110,117
112,117
113,116
114,116
116,114
118,114
119,113
120,113
121,112
122,112
123,111
124,111
124,109
123,108
121,108
119,106
118,106
117,105
116,105
115,104
113,104
112,103
111,103
110,102
109,102
108,101
107,101
106,100
105,100
104,99
103,99
102,98
101,98
100,97
98,97
96,95
94,95
93,94
92,94
91,93
90,93
89,92
88,92
87,91
86,91
85,90
84,90
83,89
82,89
81,88
80,88
79,87
78,87
77,86
76,86
75,85
