x,y
45,91
44,92
41,92
40,93
38,93
36,95
35,95
30,100
30,101
29,102
29,103
28,104
28,106
27,107
27,108
26,109
26,113
25,114
25,122
26,123
26,127
27,128
27,129
28,130
28,131
29,132
30,132
31,133
33,133
34,134
35,134
36,133
39,133
41,131
42,131
44,129
45,129
46,128
47,128
48,127
50,127
51,126
54,126
55,125
62,125
63,126
64,126
65,127
66,127
67,128
69,128
70,129
71,129
72,130
74,130
75,131
78,131
79,132
92,132
93,131
96,131
97,130
99,130
100,129
101,129
102,128
103,128
105,126
106,126
108,124
108,123
111,120
111,119
113,117
113,116
114,115
114,113
115,112
115,108
116,107
116,103
115,102
115,98
114,97
114,95
110,91
106,91
105,92
104,92
103,93
102,93
99,96
98,96
97,97
96,97
95,98
94,98
93,99
91,99
90,100
76,100
75,99
73,99
72,98
71,98
70,97
69,97
68,96
67,96
66,95
64,95
63,94
62,94
61,93
59,93
58,92
55,92
54,91
