x,y
44,92
45,91
54,91
55,92
58,92
59,93
61,93
62,94
63,94
64,95
65,95
66,96
67,96
68,97
70,97
71,98
72,98
73,99
75,99
76,100
90,100
91,99
93,99
94,98
96,98
97,97
98,97
99,96
100,96
103,93
104,93
105,92
110,92
114,96
114,97
115,98
115,102
116,103
116,107
115,108
115,112
114,113
114,114
113,115
113,116
111,118
111,119
108,122
108,123
105,126
104,126
102,128
101,128
100,129
99,129
98,130
97,130
96,131
93,131
92,132
79,132
78,131
75,131
74,130
72,130
71,129
70,129
69,128
68,128
67,127
66,127
65,126
63,126
62,125
55,125
54,126
51,126
50,127
48,127
47,128
45,128
44,129
43,129
41,131
40,131
38,133
32,133
31,132
30,132
28,130
28,129
26,127
26,123
25,122
25,114
26,113
26,109
27,108
27,107
28,106
28,105
29,104
29,103
30,102
30,101
36,95
37,95
39,93
40,93
41,92
